City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.0833,
1,Jamestown,US,87.39,few clouds,42.097,-79.2353,
2,Kangaba,ML,76.5,moderate rain,11.9333,-8.4167,
4,Husavik,IS,66.11,broken clouds,66.0449,-17.3389,
7,Bandarbeyla,SO,75.76,scattered clouds,9.4942,50.8122,
8,Cantagallo,CO,93.67,clear sky,7.376,-73.9196,
15,Kidal,ML,99.07,scattered clouds,18.4411,1.4078,
23,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,
24,Carbonia,IT,81.84,clear sky,39.1672,8.5222,
25,Bereda,ES,69.58,clear sky,43.2686,-7.5406,
26,Kerouane,GN,71.08,moderate rain,9.2667,-9.0167,
29,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,
30,Novyye Burasy,RU,77.83,overcast clouds,52.1324,46.0714,
31,Gazojak,TM,82.17,clear sky,41.1875,61.4036,
33,Rybachiy,RU,87.66,scattered clouds,48.7073,44.7449,
34,Gandorhun,SL,72.97,overcast clouds,7.5,-11.8333,
35,Zhezkazgan,KZ,72.03,clear sky,47.8043,67.7144,
37,Ponta Do Sol,PT,76.01,scattered clouds,32.6667,-17.1,
38,Axim,GH,76.35,clear sky,4.8699,-2.2405,
39,Pisco,PE,66.25,few clouds,-13.7,-76.2167,
40,Sambava,MG,69.62,scattered clouds,-14.2667,50.1667,
42,Nyirbogdany,HU,75.22,broken clouds,48.0572,21.8824,
43,Batelov,CZ,65.64,scattered clouds,49.3143,15.3947,
45,Stayner,CA,91.02,broken clouds,44.4183,-80.096,
46,Moose Factory,CA,84.2,few clouds,51.2585,-80.6094,
53,Corrente,BR,95.29,broken clouds,-3.7367,-43.3394,
54,Dawlatabad,AF,83.68,clear sky,36.4141,64.9053,
55,Carnarvon,AU,66.27,scattered clouds,-24.8667,113.6333,
56,Quelimane,MZ,66.09,clear sky,-17.8786,36.8883,
59,Kikwit,CD,84.13,few clouds,-5.041,18.8162,
60,Tessalit,ML,92.07,overcast clouds,20.1986,1.0114,
64,Ilam,NP,70.75,overcast clouds,26.9167,87.9167,
65,Castro,BR,75.0,clear sky,-24.7911,-50.0119,
66,Saint-Philippe,RE,69.39,overcast clouds,-21.3585,55.7679,
67,Herat,AF,81.07,clear sky,34.5,62.0,
68,Riachao Das Neves,BR,88.52,clear sky,-11.7461,-44.91,
69,Akhtubinsk,RU,87.39,overcast clouds,48.2795,46.1722,
70,Severnyy,RU,82.44,clear sky,50.677,36.5532,
72,Hamilton,US,81.54,light rain,39.1834,-84.5333,
73,Pokhara,NP,72.19,overcast clouds,28.2333,83.9833,
76,Laguna,US,96.64,clear sky,38.421,-121.4238,
77,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,
78,Mahanoro,MG,65.35,scattered clouds,-19.9,48.8,
79,Sao Filipe,CV,79.07,scattered clouds,14.8961,-24.4956,
80,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,
83,Dingle,PH,74.44,moderate rain,10.9995,122.6711,
84,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,
86,Carmo,BR,74.46,overcast clouds,-21.9336,-42.6086,
87,Robertsport,LR,78.8,light rain,6.7533,-11.3686,
88,Luanda,AO,71.6,few clouds,-8.8368,13.2343,
90,Mecca,SA,92.35,clear sky,21.4267,39.8261,
91,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,
93,Cidreira,BR,65.66,overcast clouds,-30.1811,-50.2056,
96,Milin,CZ,68.41,overcast clouds,49.6319,14.046,
97,Barhi,IN,77.02,overcast clouds,23.9,80.8,
98,Hualmay,PE,67.12,few clouds,-11.0964,-77.6139,
99,Sakakah,SA,94.57,clear sky,29.9697,40.2064,
100,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,
103,San Pedro De Ycuamandiyu,PY,92.77,few clouds,-24.0917,-57.0764,
105,Ilava,SK,69.22,scattered clouds,48.9977,18.2353,
106,Sesheke,ZM,65.1,clear sky,-17.4759,24.2968,
107,Jilib,SO,75.11,overcast clouds,0.4883,42.7854,
108,Crotone,IT,82.56,clear sky,39.0851,17.1178,
109,Piacabucu,BR,75.15,scattered clouds,-10.4056,-36.4344,
111,Tocopilla,CL,65.55,few clouds,-22.092,-70.1979,
112,Santa Marta,CO,85.77,overcast clouds,11.2408,-74.199,
116,La Palma,US,95.67,clear sky,33.8464,-118.0467,
117,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,
119,Praia Da Vitoria,PT,74.75,broken clouds,38.7333,-27.0667,
121,Torbay,CA,65.75,few clouds,47.6666,-52.7314,
122,Saint-Augustin,CA,69.03,clear sky,51.226000000000006,-58.6502,
123,Torres,BR,82.83,overcast clouds,-29.3353,-49.7269,
125,Redcar,GB,66.45,few clouds,54.6166,-1.06,
126,Bhainsdehi,IN,73.18,overcast clouds,21.6467,77.6325,
128,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,
129,Inhambane,MZ,68.34,clear sky,-23.865,35.3833,
130,Am Timan,TD,76.14,overcast clouds,11.0297,20.2827,
131,Marsh Harbour,BS,84.74,clear sky,26.5412,-77.0636,
132,Hambantota,LK,78.87,overcast clouds,6.1241,81.1185,
134,Trairi,BR,84.16,clear sky,-3.2778,-39.2689,
135,Lagoa,PT,71.65,clear sky,39.05,-27.9833,
136,Aksehir,TR,70.61,clear sky,38.3575,31.4164,
140,Hobyo,SO,76.98,scattered clouds,5.3505,48.5268,
141,Hauterive,FR,70.09,clear sky,46.0901,3.4459,
142,Doka,SD,67.03,overcast clouds,13.5167,35.7667,
144,Caravelas,BR,74.34,clear sky,-17.7125,-39.2481,
146,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,
147,Catio,GW,78.31,overcast clouds,11.2833,-15.25,
148,Uige,AO,73.51,scattered clouds,-7.6087,15.0613,
150,Xudat,AZ,80.2,scattered clouds,41.631,48.681000000000004,
151,Tasgaon,IN,72.97,overcast clouds,17.0333,74.6,
152,Elizabeth City,US,91.45,clear sky,36.2946,-76.2511,
153,Omboue,GA,75.45,broken clouds,-1.5746,9.2618,
156,Sompeta,IN,83.93,overcast clouds,18.9333,84.6,
157,Sarankhola,BD,80.51,broken clouds,22.3082,89.7897,
158,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,
159,Morropon,PE,86.36,clear sky,-5.1822,-79.9689,
160,Balkanabat,TM,98.08,clear sky,39.5108,54.3671,
161,Jizan,SA,90.54,broken clouds,17.3333,42.6667,
162,Oussouye,SN,80.91,moderate rain,12.485,-16.5469,
163,Saint-Cyr-Sur-Loire,FR,68.25,clear sky,47.4,0.6667,
168,Komsomolskoye,RU,72.84,light rain,55.2567,47.5461,
169,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,
170,Makaryev,RU,66.94,overcast clouds,57.8797,43.8069,
171,Yambio,SS,69.08,moderate rain,4.5721,28.3955,
173,Spiridonovka,RU,78.01,overcast clouds,53.0925,50.6462,
174,Bonavista,CA,75.2,scattered clouds,48.6499,-53.1147,
175,Rincon,US,93.38,broken clouds,32.296,-81.2354,
177,Dalbandin,PK,90.37,clear sky,28.8947,64.4101,
178,Georgiyevka,KZ,68.04,scattered clouds,43.0369,74.7114,
179,Najran,SA,92.05,overcast clouds,17.4924,44.1277,
180,Jalu,LY,92.05,clear sky,29.0331,21.5482,
181,Muros,ES,71.83,clear sky,42.7762,-9.0603,
183,Rafai,CF,68.65,overcast clouds,4.95,23.9167,
184,Miraflores,MX,70.56,scattered clouds,19.2167,-98.8083,
186,Auburn,US,77.22,scattered clouds,47.3073,-122.2284,
187,Tonantins,BR,94.8,scattered clouds,-2.8731,-67.8022,
189,Granadilla De Abona,ES,71.1,broken clouds,28.1188,-16.576,
190,Saint-Pierre,RE,69.48,overcast clouds,-21.3393,55.4781,
192,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,
194,Touros,BR,83.3,clear sky,-5.1989,-35.4608,
195,Yabassi,CM,76.64,scattered clouds,4.457,9.9682,
196,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,
197,Porto Belo,BR,80.8,overcast clouds,-27.1578,-48.5531,
198,Camacha,PT,72.54,few clouds,33.0833,-16.3333,
199,Manono,CD,78.28,clear sky,-7.3,27.4167,
200,Salinopolis,BR,82.58,few clouds,-0.6136,-47.3561,
201,Camacupa,AO,67.08,clear sky,-12.0167,17.4833,
204,Puertollano,ES,90.19,overcast clouds,38.6871,-4.1073,
205,Sokoni,TZ,75.06,clear sky,-6.4333,39.55,
208,Aden,YE,83.8,scattered clouds,12.7794,45.0367,
209,Minab,IR,90.9,broken clouds,27.1467,57.0801,
210,Ucar,AZ,86.67,clear sky,40.519,47.6542,
214,Slovenj Gradec,SI,71.94,scattered clouds,46.5103,15.0806,
215,Kashi,CN,79.81,clear sky,39.4547,75.9797,
218,Colares,PT,73.08,few clouds,38.7992,-9.4469,
219,Aksu,CN,76.55,light rain,41.1231,80.2644,
220,Wattegama,LK,75.47,overcast clouds,6.7989,81.4808,
221,Gavrilov-Yam,RU,69.64,clear sky,57.3018,39.8533,
222,Oriximina,BR,93.07,broken clouds,-1.7656,-55.8661,
223,Uyovu,TZ,73.0,broken clouds,-3.2833,31.5258,
224,Takoradi,GH,76.75,clear sky,4.8845,-1.7554,
225,Lahij,YE,91.69,scattered clouds,13.1667,44.5833,
226,Roald,NO,68.05,clear sky,62.5833,6.1333,
228,Stamford,US,84.88,broken clouds,41.0534,-73.5387,
229,Bilma,NE,98.35,clear sky,18.6853,12.9164,
230,Ati,TD,83.28,overcast clouds,13.2154,18.3353,
231,Saint-Georges,GD,89.28,few clouds,12.0564,-61.7485,
232,Atlantic Beach,US,91.98,broken clouds,30.3344,-81.3987,
233,Maceio,BR,72.84,overcast clouds,-9.6658,-35.7353,
236,Port Elgin,CA,75.06,overcast clouds,46.0487,-64.0868,
239,San Miguel,SV,91.06,few clouds,13.4833,-88.1833,
240,Kushalgarh,IN,77.49,overcast clouds,23.199,74.4507,
241,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,
242,Salvador,SV,85.05,overcast clouds,13.8333,-88.9167,
243,Shache,CN,78.57,scattered clouds,38.4167,77.2406,
244,Nicolas Bravo,MX,81.48,few clouds,18.45,-88.9167,
245,Van Wert,US,82.6,clear sky,40.8695,-84.5841,
247,Asfi,MA,69.3,clear sky,32.2994,-9.2372,
248,Taybad,IR,83.71,clear sky,34.74,60.7756,
250,Jagtial,IN,78.82,overcast clouds,18.8,78.9333,
253,Rorvik,NO,69.78,clear sky,64.8621,11.2373,
255,Olinda,BR,73.13,mist,-8.0089,-34.8553,
256,Cururupu,BR,86.52,clear sky,-1.8283,-44.8683,
258,Cabinda,AO,74.01,clear sky,-5.55,12.2,
260,Adiake,CI,78.39,clear sky,5.2863,-3.304,
261,Babugarh,IN,79.72,few clouds,28.7167,77.85,
262,Kutum,SD,69.37,overcast clouds,14.2,24.6667,
263,Les Cayes,HT,87.12,clear sky,18.2,-73.75,
266,Antofagasta,CL,67.21,scattered clouds,-23.65,-70.4,
267,Saint Anthony,US,87.26,few clouds,45.0205,-93.21799999999999,
268,Jutai,BR,99.16,broken clouds,-5.1833,-68.9,
269,Birin,NP,65.28,overcast clouds,26.8865,88.0718,
270,Puri,IN,82.92,overcast clouds,19.8,85.85,
272,Manicore,BR,93.15,clear sky,-5.8092,-61.3003,
274,Libreville,GA,78.82,few clouds,0.3925,9.4537,
277,Rudbar,AF,94.55,clear sky,30.15,62.6,
278,Almeirim,BR,88.77,overcast clouds,-1.5233,-52.5817,
281,Kousseri,CM,80.56,few clouds,12.0769,15.0306,
284,Coari,BR,89.98,overcast clouds,-4.085,-63.1414,
285,Goderich,CA,88.03,overcast clouds,43.7501,-81.7165,
286,Lethem,GY,84.96,overcast clouds,3.3803,-59.7968,
287,Kabo,CF,71.92,light rain,7.6994,18.629,
289,Gourcy,BF,86.32,scattered clouds,13.2167,-2.35,
290,Arona,ES,71.02,broken clouds,28.0996,-16.680999999999997,
291,Seydi,TM,82.11,clear sky,39.4816,62.9137,
292,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,
293,Itaituba,BR,96.96,scattered clouds,-4.2761,-55.9836,
294,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,
296,Harper,LR,76.95,broken clouds,4.375,-7.7169,
297,Amapa,BR,81.45,broken clouds,1.0,-52.0,
298,Nainpur,IN,75.97,overcast clouds,22.4333,80.1167,
300,Kalmunai,LK,78.35,overcast clouds,7.4167,81.8167,
301,Floriano,BR,96.76,clear sky,-6.7669,-43.0225,
302,Viseu,PT,73.85,broken clouds,40.661,-7.9097,
303,San Francisco,US,89.89,few clouds,37.7749,-122.4194,
305,Guarapari,BR,75.09,scattered clouds,-20.6667,-40.4975,
306,Bubaque,GW,79.54,overcast clouds,11.2833,-15.8333,
307,Nioro,GM,83.89,overcast clouds,13.35,-15.75,
308,Dossor,KZ,86.72,clear sky,47.5272,52.9811,
309,Novomoskovsk,RU,70.29,clear sky,54.0105,38.2846,
310,Riyadh,SA,98.74,clear sky,24.6877,46.7219,
311,Chitral,PK,76.87,scattered clouds,35.8462,71.7858,
314,Bogande,BF,82.76,broken clouds,12.9714,-0.1436,
315,Kariba,ZW,67.05,clear sky,-16.5167,28.8,
316,Marquette,US,78.37,overcast clouds,46.5333,-87.6335,
320,Palmares Do Sul,BR,67.5,overcast clouds,-30.2578,-50.5097,
326,Yabrud,SY,69.46,clear sky,33.9674,36.6574,
327,Sayville,US,79.11,overcast clouds,40.7359,-73.0821,
328,Fasa,IR,81.64,few clouds,28.9383,53.6482,
329,Havre-Saint-Pierre,CA,68.36,clear sky,50.2334,-63.5986,
330,Le Port,RE,69.8,few clouds,-20.9373,55.2919,
331,Gat,IL,83.08,clear sky,31.61,34.7642,
332,Faya,SA,79.32,overcast clouds,18.3851,42.4509,
334,Shu,KZ,72.16,clear sky,43.5983,73.7614,
335,Sao Felix Do Xingu,BR,98.51,clear sky,-6.6447,-51.995,
337,Coxim,BR,96.78,overcast clouds,-18.5067,-54.76,
338,Tanout,NE,89.98,overcast clouds,14.9709,8.8879,
339,Mubi,NG,73.99,light rain,10.2676,13.2644,
340,Sika,GM,82.54,overcast clouds,13.3546,-16.345,
341,Derzhavinsk,KZ,69.69,overcast clouds,51.1,66.3167,
343,Velykyy Burluk,UA,70.2,light rain,50.0379,37.3987,
344,Harlingen,US,95.34,few clouds,26.1906,-97.6961,
347,Morros,BR,92.25,clear sky,-9.4467,-46.3003,
348,Florida,US,95.99,scattered clouds,28.7505,-82.5001,
349,Uaua,BR,81.37,overcast clouds,-9.8414,-39.4817,
351,Weston,US,93.0,broken clouds,26.1004,-80.3998,
352,Tambura,SS,69.69,overcast clouds,5.6,27.4667,
353,Sabaudia,IT,81.75,clear sky,41.3003,13.0282,
354,Miragoane,HT,84.52,clear sky,18.4423,-73.0876,
356,Pudozh,RU,67.59,overcast clouds,61.8099,36.5345,
357,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,
358,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,
359,Lagos,NG,79.12,broken clouds,6.5833,3.75,
360,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,
364,Arlit,NE,84.69,overcast clouds,18.7369,7.3853,
365,Mansa,IN,83.68,scattered clouds,29.9833,75.3833,
368,Vytegra,RU,67.28,overcast clouds,61.0064,36.4481,
369,Distraccion,CO,97.99,broken clouds,10.8969,-72.8861,
371,Sabha,LY,93.45,clear sky,27.0377,14.4283,
372,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,
373,Matay,EG,92.59,clear sky,28.419,30.7792,
374,Itarema,BR,83.73,clear sky,-2.9248,-39.9167,
