City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Hithadhoo,MV,-0.6,73.0833,81.95,70,99,5.88,overcast clouds
1,Jamestown,US,42.097,-79.2353,87.39,54,20,8.05,few clouds
2,Kangaba,ML,11.9333,-8.4167,76.5,87,98,3.38,moderate rain
3,Mar Del Plata,AR,-38.0023,-57.5575,48.22,61,40,14.97,scattered clouds
4,Husavik,IS,66.0449,-17.3389,66.11,59,69,1.97,broken clouds
5,Abu Dhabi,AE,24.4667,54.3667,104.11,41,0,4.61,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.66,53,20,6.91,few clouds
7,Bandarbeyla,SO,9.4942,50.8122,75.76,86,33,31.83,scattered clouds
8,Cantagallo,CO,7.376,-73.9196,93.67,47,8,2.48,clear sky
9,Cape Town,ZA,-33.9258,18.4232,51.12,81,0,6.91,clear sky
10,Keuruu,FI,62.2667,24.7,62.74,95,100,5.12,overcast clouds
11,Bjornevatn,NO,69.6672,29.9847,64.74,63,0,3.44,clear sky
12,Busselton,AU,-33.65,115.3333,48.09,60,100,27.11,overcast clouds
13,Upernavik,GL,72.7868,-56.1549,42.44,79,30,2.98,scattered clouds
14,Den Helder,NL,52.9599,4.7593,64.38,88,40,13.8,scattered clouds
15,Kidal,ML,18.4411,1.4078,99.07,25,30,8.21,scattered clouds
16,East London,ZA,-33.0153,27.9116,57.81,64,35,20.58,light rain
17,Clarence Town,AU,-32.5833,151.7833,52.56,89,53,2.8,broken clouds
18,Saint George,US,37.1041,-113.5841,101.43,18,1,3.0,clear sky
19,Port Alfred,ZA,-33.5906,26.891,57.51,70,100,20.09,light rain
20,Ginir,ET,7.1333,40.7,62.71,68,93,4.79,overcast clouds
21,Viedma,AR,-40.8135,-62.9967,54.39,27,0,8.23,clear sky
22,Oranjemund,NA,-28.55,16.4333,54.86,71,0,21.52,clear sky
23,Salalah,OM,17.0151,54.0924,77.09,94,90,5.75,overcast clouds
24,Carbonia,IT,39.1672,8.5222,81.84,69,1,6.38,clear sky
25,Bereda,ES,43.2686,-7.5406,69.58,78,0,4.34,clear sky
26,Kerouane,GN,9.2667,-9.0167,71.08,96,99,2.21,moderate rain
27,Ilulissat,GL,69.2167,-51.1,51.82,37,20,18.41,few clouds
28,Dudinka,RU,69.4058,86.1778,50.04,92,4,9.13,clear sky
29,Mahebourg,MU,-20.4081,57.7,72.25,83,40,6.91,scattered clouds
30,Novyye Burasy,RU,52.1324,46.0714,77.83,45,98,7.07,overcast clouds
31,Gazojak,TM,41.1875,61.4036,82.17,18,0,11.61,clear sky
32,Hermanus,ZA,-34.4187,19.2345,50.9,68,5,4.09,clear sky
33,Rybachiy,RU,48.7073,44.7449,87.66,19,40,13.13,scattered clouds
34,Gandorhun,SL,7.5,-11.8333,72.97,90,94,2.84,overcast clouds
35,Zhezkazgan,KZ,47.8043,67.7144,72.03,53,0,9.42,clear sky
36,Nanortalik,GL,60.1432,-45.2371,45.43,72,3,4.32,clear sky
37,Ponta Do Sol,PT,32.6667,-17.1,76.01,69,26,8.12,scattered clouds
38,Axim,GH,4.8699,-2.2405,76.35,85,5,8.25,clear sky
39,Pisco,PE,-13.7,-76.2167,66.25,68,20,9.22,few clouds
40,Sambava,MG,-14.2667,50.1667,69.62,87,50,10.98,scattered clouds
41,Brae,GB,60.3964,-1.353,57.11,94,96,10.54,overcast clouds
42,Nyirbogdany,HU,48.0572,21.8824,75.22,55,51,8.39,broken clouds
43,Batelov,CZ,49.3143,15.3947,65.64,84,43,2.21,scattered clouds
44,Dikson,RU,73.5069,80.5464,41.14,96,100,9.01,overcast clouds
45,Stayner,CA,44.4183,-80.096,91.02,51,65,9.22,broken clouds
46,Moose Factory,CA,51.2585,-80.6094,84.2,57,20,9.22,few clouds
47,Tsiroanomandidy,MG,-18.7667,46.0333,62.35,42,3,3.2,clear sky
48,Tavda,RU,58.0425,65.2726,56.55,89,100,6.46,overcast clouds
49,Pangnirtung,CA,66.1451,-65.7125,57.2,72,90,24.16,overcast clouds
50,Lyngseidet,NO,69.5763,20.2189,62.6,89,100,11.25,overcast clouds
51,Longyearbyen,SJ,78.2186,15.6401,42.64,87,40,5.75,fog
52,Qaanaaq,GL,77.484,-69.3632,40.89,69,97,9.24,overcast clouds
53,Corrente,BR,-3.7367,-43.3394,95.29,30,72,1.41,broken clouds
54,Dawlatabad,AF,36.4141,64.9053,83.68,16,0,8.57,clear sky
55,Carnarvon,AU,-24.8667,113.6333,66.27,61,44,11.5,scattered clouds
56,Quelimane,MZ,-17.8786,36.8883,66.09,77,0,4.05,clear sky
57,Port Elizabeth,ZA,-33.918,25.5701,55.09,82,90,14.97,light rain
58,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,27.63,scattered clouds
59,Kikwit,CD,-5.041,18.8162,84.13,35,11,2.51,few clouds
60,Tessalit,ML,20.1986,1.0114,92.07,30,97,18.86,overcast clouds
61,Hammerfest,NO,70.6634,23.6821,64.85,68,0,3.44,clear sky
62,Klaksvik,FO,62.2266,-6.589,50.92,95,100,8.84,overcast clouds
63,Watsa,CD,3.0372,29.5355,64.94,96,98,1.86,light rain
64,Ilam,NP,26.9167,87.9167,70.75,93,91,2.26,overcast clouds
65,Castro,BR,-24.7911,-50.0119,75.0,38,8,4.34,clear sky
66,Saint-Philippe,RE,-21.3585,55.7679,69.39,85,95,1.05,overcast clouds
67,Herat,AF,34.5,62.0,81.07,13,0,31.36,clear sky
68,Riachao Das Neves,BR,-11.7461,-44.91,88.52,24,2,6.76,clear sky
69,Akhtubinsk,RU,48.2795,46.1722,87.39,16,96,16.91,overcast clouds
70,Severnyy,RU,50.677,36.5532,82.44,42,0,4.47,clear sky
71,Necochea,AR,-38.5473,-58.7368,47.03,60,100,11.41,overcast clouds
72,Hamilton,US,39.1834,-84.5333,81.54,85,24,1.99,light rain
73,Pokhara,NP,28.2333,83.9833,72.19,91,86,2.66,overcast clouds
74,Ayagoz,KZ,47.9714,80.4392,60.96,77,98,5.57,overcast clouds
75,Moba,CN,33.2288,105.0179,64.71,57,100,2.1,overcast clouds
76,Laguna,US,38.421,-121.4238,96.64,37,1,4.0,clear sky
77,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,14.97,scattered clouds
78,Mahanoro,MG,-19.9,48.8,65.35,89,27,3.94,scattered clouds
79,Sao Filipe,CV,14.8961,-24.4956,79.07,83,48,7.63,scattered clouds
80,Victoria,HK,22.2855,114.1577,84.33,88,100,7.02,overcast clouds
81,Belyy Yar,RU,53.6039,91.3903,58.89,94,52,4.47,smoke
82,Rawson,AR,-43.3002,-65.1023,56.66,30,0,10.13,clear sky
83,Dingle,PH,10.9995,122.6711,74.44,91,100,4.29,moderate rain
84,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,20,10.36,few clouds
85,Iqaluit,CA,63.7506,-68.5145,49.73,76,90,21.85,light rain
86,Carmo,BR,-21.9336,-42.6086,74.46,45,88,2.93,overcast clouds
87,Robertsport,LR,6.7533,-11.3686,78.8,74,73,13.44,light rain
88,Luanda,AO,-8.8368,13.2343,71.6,94,20,6.91,few clouds
89,Tasiilaq,GL,65.6145,-37.6368,44.76,95,100,4.94,overcast clouds
90,Mecca,SA,21.4267,39.8261,92.35,30,6,6.78,clear sky
91,Porto Novo,BJ,6.4965,2.6036,76.82,85,100,8.23,overcast clouds
92,Saldanha,ZA,-33.0117,17.9442,48.25,65,0,16.31,clear sky
93,Cidreira,BR,-30.1811,-50.2056,65.66,77,100,6.29,overcast clouds
94,Inta,RU,66.0317,60.1659,49.19,88,16,7.18,few clouds
95,Harwich,GB,51.9419,1.2844,63.0,91,100,4.0,overcast clouds
96,Milin,CZ,49.6319,14.046,68.41,90,100,1.66,overcast clouds
97,Barhi,IN,23.9,80.8,77.02,92,100,9.91,overcast clouds
98,Hualmay,PE,-11.0964,-77.6139,67.12,71,18,12.71,few clouds
99,Sakakah,SA,29.9697,40.2064,94.57,17,0,8.95,clear sky
100,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,64,20,20.71,few clouds
101,General Roca,AR,-39.0333,-67.5833,57.6,23,0,9.6,clear sky
102,Chuy,UY,-33.6971,-53.4616,54.25,96,100,11.97,overcast clouds
103,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,92.77,23,15,5.12,few clouds
104,Verkhnyaya Inta,RU,65.9811,60.3094,48.67,89,16,5.28,few clouds
105,Ilava,SK,48.9977,18.2353,69.22,75,30,2.55,scattered clouds
106,Sesheke,ZM,-17.4759,24.2968,65.1,24,0,1.54,clear sky
107,Jilib,SO,0.4883,42.7854,75.11,72,100,10.71,overcast clouds
108,Crotone,IT,39.0851,17.1178,82.56,65,4,7.27,clear sky
109,Piacabucu,BR,-10.4056,-36.4344,75.15,85,36,12.66,scattered clouds
110,Namikupa,TZ,-10.8333,39.6,63.37,86,6,1.88,clear sky
111,Tocopilla,CL,-22.092,-70.1979,65.55,67,21,9.89,few clouds
112,Santa Marta,CO,11.2408,-74.199,85.77,66,90,15.66,overcast clouds
113,Sisimiut,GL,66.9395,-53.6735,44.71,78,100,13.71,overcast clouds
114,Vestmannaeyjar,IS,63.4427,-20.2734,58.19,82,0,10.36,clear sky
115,Bredasdorp,ZA,-34.5322,20.0403,45.72,76,1,6.91,clear sky
116,La Palma,US,33.8464,-118.0467,95.67,59,1,5.01,clear sky
117,Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,10.36,scattered clouds
118,Narsaq,GL,60.9167,-46.05,57.42,47,8,5.88,clear sky
119,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,83,75,9.24,broken clouds
120,Kibaya,TZ,-5.3,36.5667,62.4,62,48,6.85,scattered clouds
121,Torbay,CA,47.6666,-52.7314,65.75,57,20,8.05,few clouds
122,Saint-Augustin,CA,51.226,-58.6502,69.03,50,4,22.66,clear sky
123,Torres,BR,-29.3353,-49.7269,82.83,71,100,6.49,overcast clouds
124,Taltal,CL,-25.4,-70.4833,63.68,65,83,5.97,broken clouds
125,Redcar,GB,54.6166,-1.06,66.45,75,12,12.46,few clouds
126,Bhainsdehi,IN,21.6467,77.6325,73.18,90,100,3.44,overcast clouds
127,Qaqortoq,GL,60.7167,-46.0333,57.7,55,11,4.79,few clouds
128,Georgetown,MY,5.4112,100.3354,78.73,95,40,0.0,scattered clouds
129,Inhambane,MZ,-23.865,35.3833,68.34,79,0,10.04,clear sky
130,Am Timan,TD,11.0297,20.2827,76.14,81,99,5.99,overcast clouds
131,Marsh Harbour,BS,26.5412,-77.0636,84.74,68,0,11.21,clear sky
132,Hambantota,LK,6.1241,81.1185,78.87,80,100,16.33,overcast clouds
133,Jijiga,ET,9.35,42.8,64.67,82,99,5.73,moderate rain
134,Trairi,BR,-3.2778,-39.2689,84.16,64,5,16.87,clear sky
135,Lagoa,PT,39.05,-27.9833,71.65,79,1,7.0,clear sky
136,Aksehir,TR,38.3575,31.4164,70.61,34,0,5.73,clear sky
137,Karlstad,SE,59.3793,13.5036,64.96,77,40,6.91,scattered clouds
138,Nizhniy Odes,RU,63.6445,54.856,48.42,89,35,4.09,scattered clouds
139,Richards Bay,ZA,-28.783,32.0377,64.85,70,96,20.87,light rain
140,Hobyo,SO,5.3505,48.5268,76.98,85,44,22.64,scattered clouds
141,Hauterive,FR,46.0901,3.4459,70.09,77,0,3.24,clear sky
142,Doka,SD,13.5167,35.7667,67.03,92,100,10.31,overcast clouds
143,Znamenskoye,RU,57.1281,73.8282,62.29,80,70,2.89,broken clouds
144,Caravelas,BR,-17.7125,-39.2481,74.34,67,0,6.22,clear sky
145,La Plata,AR,-34.9215,-57.9545,48.11,88,100,12.95,overcast clouds
146,Vila Velha,BR,-20.3297,-40.2925,75.15,69,75,11.5,broken clouds
147,Catio,GW,11.2833,-15.25,78.31,86,100,8.39,overcast clouds
148,Uige,AO,-7.6087,15.0613,73.51,54,32,1.01,scattered clouds
149,Concepcion Del Uruguay,AR,-32.4825,-58.2372,51.98,87,100,8.01,overcast clouds
150,Xudat,AZ,41.631,48.681,80.2,65,50,5.84,scattered clouds
151,Tasgaon,IN,17.0333,74.6,72.97,91,100,9.75,overcast clouds
152,Elizabeth City,US,36.2946,-76.2511,91.45,57,1,1.01,clear sky
153,Omboue,GA,-1.5746,9.2618,75.45,77,78,8.21,broken clouds
154,Lerwick,GB,60.1545,-1.1494,57.2,94,85,12.01,overcast clouds
155,Sarany,RU,58.5,58.8833,50.41,90,99,2.71,overcast clouds
156,Sompeta,IN,18.9333,84.6,83.93,82,100,10.4,overcast clouds
157,Sarankhola,BD,22.3082,89.7897,80.51,94,58,4.79,broken clouds
158,Aquiraz,BR,-3.9014,-38.3911,84.29,66,12,13.06,few clouds
159,Morropon,PE,-5.1822,-79.9689,86.36,42,10,7.49,clear sky
160,Balkanabat,TM,39.5108,54.3671,98.08,12,0,19.51,clear sky
161,Jizan,SA,17.3333,42.6667,90.54,60,66,3.29,broken clouds
162,Oussouye,SN,12.485,-16.5469,80.91,82,100,4.47,moderate rain
163,Saint-Cyr-Sur-Loire,FR,47.4,0.6667,68.25,64,0,5.75,clear sky
164,Vuktyl,RU,63.8567,57.3094,50.77,87,100,2.89,overcast clouds
165,Kruisfontein,ZA,-34.0033,24.7314,52.88,61,100,15.05,overcast clouds
166,Oktyabrskoye,RU,43.0645,44.7417,64.54,94,90,6.71,light intensity shower rain
167,Aktash,RU,50.3,87.7333,47.88,67,100,3.96,overcast clouds
168,Komsomolskoye,RU,55.2567,47.5461,72.84,60,100,4.63,light rain
169,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,75,6.91,broken clouds
170,Makaryev,RU,57.8797,43.8069,66.94,83,99,0.72,overcast clouds
171,Yambio,SS,4.5721,28.3955,69.08,95,100,2.62,moderate rain
172,Paamiut,GL,61.994,-49.6678,42.44,89,100,19.17,overcast clouds
173,Spiridonovka,RU,53.0925,50.6462,78.01,32,98,2.82,overcast clouds
174,Bonavista,CA,48.6499,-53.1147,75.2,60,36,11.77,scattered clouds
175,Rincon,US,32.296,-81.2354,93.38,68,75,9.22,broken clouds
176,Calvinia,ZA,-31.4707,19.776,46.26,49,0,4.79,clear sky
177,Dalbandin,PK,28.8947,64.4101,90.37,10,0,3.74,clear sky
178,Georgiyevka,KZ,43.0369,74.7114,68.04,42,40,6.71,scattered clouds
179,Najran,SA,17.4924,44.1277,92.05,17,99,5.23,overcast clouds
180,Jalu,LY,29.0331,21.5482,92.05,14,0,7.85,clear sky
181,Muros,ES,42.7762,-9.0603,71.83,67,0,10.56,clear sky
182,Bjerkvik,NO,68.5597,17.5189,62.2,90,100,5.39,light rain
183,Rafai,CF,4.95,23.9167,68.65,96,89,0.47,overcast clouds
184,Miraflores,MX,19.2167,-98.8083,70.56,46,41,2.73,scattered clouds
185,Hofn,IS,64.2539,-15.2082,51.69,86,88,4.32,overcast clouds
186,Auburn,US,47.3073,-122.2284,77.22,62,40,1.99,scattered clouds
187,Tonantins,BR,-2.8731,-67.8022,94.8,41,29,2.35,scattered clouds
188,Ust-Kulom,RU,61.6864,53.6902,47.37,95,9,1.43,clear sky
189,Granadilla De Abona,ES,28.1188,-16.576,71.1,63,75,12.66,broken clouds
190,Saint-Pierre,RE,-21.3393,55.4781,69.48,80,90,4.61,overcast clouds
191,Agirish,RU,61.9247,63.0231,51.04,95,71,8.1,broken clouds
192,Souillac,MU,-20.5167,57.5167,72.36,83,40,6.91,scattered clouds
193,Sept-Iles,CA,50.2001,-66.3821,64.92,69,90,8.01,overcast clouds
194,Touros,BR,-5.1989,-35.4608,83.3,69,4,16.51,clear sky
195,Yabassi,CM,4.457,9.9682,76.64,94,47,2.1,scattered clouds
196,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,6.91,scattered clouds
197,Porto Belo,BR,-27.1578,-48.5531,80.8,82,100,8.84,overcast clouds
198,Camacha,PT,33.0833,-16.3333,72.54,64,20,10.36,few clouds
199,Manono,CD,-7.3,27.4167,78.28,25,0,4.41,clear sky
200,Salinopolis,BR,-0.6136,-47.3561,82.58,74,23,13.69,few clouds
201,Camacupa,AO,-12.0167,17.4833,67.08,18,0,2.62,clear sky
202,Khelyulya,RU,61.7333,30.6833,61.02,97,100,4.74,overcast clouds
203,Kotka,FI,60.4664,26.9458,63.66,83,42,9.48,scattered clouds
204,Puertollano,ES,38.6871,-4.1073,90.19,24,98,1.34,overcast clouds
205,Sokoni,TZ,-6.4333,39.55,75.06,74,6,15.66,clear sky
206,Zarichne,UA,51.8126,26.129,63.52,83,10,2.35,clear sky
207,Megion,RU,61.0296,76.1136,59.02,74,100,6.67,overcast clouds
208,Aden,YE,12.7794,45.0367,83.8,83,42,13.58,scattered clouds
209,Minab,IR,27.1467,57.0801,90.9,66,75,5.55,broken clouds
210,Ucar,AZ,40.519,47.6542,86.67,29,0,4.9,clear sky
211,Henties Bay,NA,-22.116,14.2845,56.86,88,7,11.03,clear sky
212,Nikolskiy,RU,60.9151,34.0645,60.73,96,100,3.53,overcast clouds
213,Lebu,CL,-37.6167,-73.65,51.57,70,0,17.05,clear sky
214,Slovenj Gradec,SI,46.5103,15.0806,71.94,85,26,2.1,scattered clouds
215,Kashi,CN,39.4547,75.9797,79.81,27,0,11.18,clear sky
216,Codrington,AU,-38.2667,141.9667,50.85,62,37,17.49,scattered clouds
217,Cavan,IE,53.9908,-7.3606,61.43,94,97,5.84,overcast clouds
218,Colares,PT,38.7992,-9.4469,73.08,67,20,21.85,few clouds
219,Aksu,CN,41.1231,80.2644,76.55,40,33,4.0,light rain
220,Wattegama,LK,6.7989,81.4808,75.47,82,100,8.66,overcast clouds
221,Gavrilov-Yam,RU,57.3018,39.8533,69.64,72,3,4.29,clear sky
222,Oriximina,BR,-1.7656,-55.8661,93.07,37,69,6.67,broken clouds
223,Uyovu,TZ,-3.2833,31.5258,73.0,53,65,8.23,broken clouds
224,Takoradi,GH,4.8845,-1.7554,76.75,82,6,9.48,clear sky
225,Lahij,YE,13.1667,44.5833,91.69,39,26,6.02,scattered clouds
226,Roald,NO,62.5833,6.1333,68.05,72,0,6.91,clear sky
227,Tatarsk,RU,55.219,75.9828,60.87,94,100,7.58,overcast clouds
228,Stamford,US,41.0534,-73.5387,84.88,89,75,15.01,broken clouds
229,Bilma,NE,18.6853,12.9164,98.35,26,4,16.26,clear sky
230,Ati,TD,13.2154,18.3353,83.28,59,100,7.65,overcast clouds
231,Saint-Georges,GD,12.0564,-61.7485,89.28,62,20,9.22,few clouds
232,Atlantic Beach,US,30.3344,-81.3987,91.98,80,75,10.36,broken clouds
233,Maceio,BR,-9.6658,-35.7353,72.84,94,90,6.91,overcast clouds
234,Lyngdal,NO,58.1376,7.07,62.89,82,100,9.1,overcast clouds
235,Coquimbo,CL,-29.9533,-71.3436,60.53,67,20,13.8,few clouds
236,Port Elgin,CA,46.0487,-64.0868,75.06,52,100,5.35,overcast clouds
